[Progress:0.3%] time:55.41s Loss:6.63171  Acc:11.172%
[Progress:0.5%] time:53.65s Loss:6.33402  Acc:11.719%
[Progress:0.8%] time:53.59s Loss:6.12580  Acc:12.331%
[Progress:1.1%] time:53.79s Loss:6.12519  Acc:12.227%
[Progress:1.3%] time:53.24s Loss:5.94578  Acc:12.383%
[Progress:1.6%] time:53.17s Loss:5.88624  Acc:12.357%
[Progress:1.9%] time:53.09s Loss:5.69470  Acc:12.606%
[Progress:2.2%] time:52.99s Loss:5.60087  Acc:12.856%
[Progress:2.4%] time:52.74s Loss:5.53016  Acc:13.030%
[Progress:2.7%] time:53.95s Loss:5.41892  Acc:13.332%
[Progress:3.0%] time:52.81s Loss:5.33944  Acc:13.498%
[Progress:3.2%] time:51.49s Loss:5.17622  Acc:13.792%
[Progress:3.5%] time:51.76s Loss:5.13200  Acc:14.011%
[Progress:3.8%] time:53.63s Loss:4.88094  Acc:14.369%
[Progress:4.0%] time:52.36s Loss:4.92405  Acc:14.659%
[Progress:4.3%] time:52.67s Loss:4.78070  Acc:15.005%
[Progress:4.6%] time:52.89s Loss:4.79019  Acc:15.214%
[Progress:4.8%] time:52.33s Loss:4.63891  Acc:15.456%
[Progress:5.1%] time:52.02s Loss:4.51172  Acc:15.769%
[Progress:5.4%] time:53.29s Loss:4.52028  Acc:16.012%
[Progress:5.6%] time:53.44s Loss:4.39925  Acc:16.254%
[Progress:5.9%] time:52.07s Loss:4.35742  Acc:16.475%
[Progress:6.2%] time:52.98s Loss:4.22363  Acc:16.753%
[Progress:6.5%] time:52.49s Loss:4.15587  Acc:17.069%
[Progress:6.7%] time:52.41s Loss:4.11603  Acc:17.352%
[Progress:7.0%] time:52.29s Loss:4.12103  Acc:17.563%
[Progress:7.3%] time:52.26s Loss:4.00795  Acc:17.795%
[Progress:7.5%] time:52.67s Loss:3.93721  Acc:18.062%
[Progress:7.8%] time:52.07s Loss:3.90872  Acc:18.312%
[Progress:8.1%] time:51.47s Loss:3.82246  Acc:18.569%
[Progress:8.3%] time:51.99s Loss:3.65900  Acc:18.876%
[Progress:8.6%] time:52.09s Loss:3.72679  Acc:19.143%
[Progress:8.9%] time:52.45s Loss:3.63643  Acc:19.413%
[Progress:9.1%] time:52.90s Loss:3.56315  Acc:19.724%
[Progress:9.4%] time:52.50s Loss:3.50162  Acc:20.028%
[Progress:9.7%] time:52.49s Loss:3.47756  Acc:20.294%
[Progress:9.9%] time:51.82s Loss:3.38805  Acc:20.599%
[Progress:10.2%] time:51.87s Loss:3.25831  Acc:20.919%
[Progress:10.5%] time:52.06s Loss:3.30754  Acc:21.222%
[Progress:10.8%] time:51.46s Loss:3.26153  Acc:21.538%
[Progress:11.0%] time:52.81s Loss:3.27256  Acc:21.813%
[Progress:11.3%] time:51.56s Loss:3.13383  Acc:22.116%
[Progress:11.6%] time:51.98s Loss:3.20418  Acc:22.391%
[Progress:11.8%] time:51.27s Loss:3.10366  Acc:22.675%
[Progress:12.1%] time:52.77s Loss:3.06544  Acc:22.938%
[Progress:12.4%] time:52.03s Loss:3.05858  Acc:23.216%
[Progress:12.6%] time:52.05s Loss:2.88006  Acc:23.529%
[Progress:12.9%] time:52.03s Loss:2.91901  Acc:23.794%
[Progress:13.2%] time:51.19s Loss:2.81143  Acc:24.110%
[Progress:13.4%] time:52.06s Loss:2.76338  Acc:24.429%
[Progress:13.7%] time:50.38s Loss:2.79966  Acc:24.747%
[Progress:14.0%] time:51.64s Loss:2.77605  Acc:25.041%
[Progress:14.2%] time:52.29s Loss:2.65392  Acc:25.341%
[Progress:14.5%] time:52.73s Loss:2.62344  Acc:25.645%
[Progress:14.8%] time:51.81s Loss:2.71160  Acc:25.903%
[Progress:15.1%] time:50.53s Loss:2.67674  Acc:26.177%
