Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 1, spend time: 0.189s, fps: 5.293
frame index: 2, spend time: 0.161s, fps: 6.226
frame index: 3, spend time: 0.165s, fps: 6.078
frame index: 4, spend time: 0.161s, fps: 6.201
frame index: 5, spend time: 0.159s, fps: 6.292
frame index: 6, spend time: 0.171s, fps: 5.852
frame index: 7, spend time: 0.169s, fps: 5.930
frame index: 8, spend time: 0.161s, fps: 6.213
frame index: 9, spend time: 0.163s, fps: 6.130
frame index: 10, spend time: 0.161s, fps: 6.224
frame index: 11, spend time: 0.177s, fps: 5.650
frame index: 12, spend time: 0.167s, fps: 5.995
frame index: 13, spend time: 0.161s, fps: 6.207
frame index: 14, spend time: 0.176s, fps: 5.696
frame index: 15, spend time: 0.168s, fps: 5.961
frame index: 16, spend time: 0.104s, fps: 9.643
frame index: 17, spend time: 0.104s, fps: 9.607
frame index: 18, spend time: 0.108s, fps: 9.222
frame index: 19, spend time: 0.113s, fps: 8.811
frame index: 20, spend time: 0.107s, fps: 9.388
frame index: 21, spend time: 0.118s, fps: 8.447
frame index: 22, spend time: 0.119s, fps: 8.376
frame index: 23, spend time: 0.129s, fps: 7.738
frame index: 24, spend time: 0.116s, fps: 8.622
frame index: 25, spend time: 0.117s, fps: 8.574
frame index: 26, spend time: 0.117s, fps: 8.579
frame index: 27, spend time: 0.117s, fps: 8.542
frame index: 28, spend time: 0.117s, fps: 8.513
frame index: 29, spend time: 0.109s, fps: 9.156
frame index: 30, spend time: 0.116s, fps: 8.598
frame index: 31, spend time: 0.139s, fps: 7.196
frame index: 32, spend time: 0.176s, fps: 5.694
frame index: 33, spend time: 0.149s, fps: 6.694
frame index: 34, spend time: 0.129s, fps: 7.775
frame index: 35, spend time: 0.101s, fps: 9.884
frame index: 36, spend time: 0.192s, fps: 5.201
frame index: 37, spend time: 0.138s, fps: 7.231
frame index: 38, spend time: 0.163s, fps: 6.117
frame index: 39, spend time: 0.197s, fps: 5.066
frame index: 40, spend time: 0.204s, fps: 4.898
frame index: 41, spend time: 0.212s, fps: 4.723
frame index: 42, spend time: 0.174s, fps: 5.749
frame index: 43, spend time: 0.164s, fps: 6.084
frame index: 44, spend time: 0.138s, fps: 7.234
frame index: 45, spend time: 0.121s, fps: 8.260
frame index: 46, spend time: 0.105s, fps: 9.526
frame index: 47, spend time: 0.101s, fps: 9.921
frame index: 48, spend time: 0.197s, fps: 5.073
frame index: 49, spend time: 0.130s, fps: 7.684
frame index: 50, spend time: 0.153s, fps: 6.538
frame index: 51, spend time: 0.175s, fps: 5.710
frame index: 52, spend time: 0.172s, fps: 5.830
frame index: 53, spend time: 0.146s, fps: 6.863
frame index: 54, spend time: 0.116s, fps: 8.624
frame index: 55, spend time: 0.135s, fps: 7.400
frame index: 56, spend time: 0.121s, fps: 8.238
frame index: 57, spend time: 0.126s, fps: 7.919
frame index: 58, spend time: 0.148s, fps: 6.755
frame index: 59, spend time: 0.137s, fps: 7.322
frame index: 60, spend time: 0.159s, fps: 6.297
frame index: 61, spend time: 0.160s, fps: 6.266
frame index: 62, spend time: 0.190s, fps: 5.251
frame index: 63, spend time: 0.155s, fps: 6.438
frame index: 64, spend time: 0.157s, fps: 6.389
frame index: 65, spend time: 0.141s, fps: 7.092
frame index: 66, spend time: 0.143s, fps: 7.007
frame index: 67, spend time: 0.127s, fps: 7.857
frame index: 68, spend time: 0.135s, fps: 7.435
frame index: 69, spend time: 0.161s, fps: 6.209
frame index: 70, spend time: 0.253s, fps: 3.959
frame index: 71, spend time: 0.169s, fps: 5.910
frame index: 72, spend time: 0.162s, fps: 6.178
frame index: 73, spend time: 0.170s, fps: 5.885
frame index: 74, spend time: 0.196s, fps: 5.111
frame index: 75, spend time: 0.207s, fps: 4.842
frame index: 76, spend time: 0.191s, fps: 5.228
frame index: 77, spend time: 0.180s, fps: 5.554
frame index: 78, spend time: 0.159s, fps: 6.279
frame index: 79, spend time: 0.151s, fps: 6.607
frame index: 80, spend time: 0.133s, fps: 7.502
frame index: 81, spend time: 0.152s, fps: 6.569
frame index: 82, spend time: 0.189s, fps: 5.282
frame index: 83, spend time: 0.162s, fps: 6.188
frame index: 84, spend time: 0.147s, fps: 6.794
frame index: 85, spend time: 0.176s, fps: 5.694
frame index: 86, spend time: 0.168s, fps: 5.942
frame index: 87, spend time: 0.188s, fps: 5.314
frame index: 88, spend time: 0.174s, fps: 5.744
frame index: 89, spend time: 0.159s, fps: 6.292
frame index: 90, spend time: 0.151s, fps: 6.638
frame index: 91, spend time: 0.155s, fps: 6.462
frame index: 92, spend time: 0.145s, fps: 6.888
frame index: 93, spend time: 0.151s, fps: 6.631
frame index: 94, spend time: 0.147s, fps: 6.822
frame index: 95, spend time: 0.145s, fps: 6.910
frame index: 96, spend time: 0.207s, fps: 4.831
frame index: 97, spend time: 0.147s, fps: 6.807
frame index: 98, spend time: 0.114s, fps: 8.793
frame index: 99, spend time: 0.174s, fps: 5.744
frame index: 100, spend time: 0.162s, fps: 6.178
frame index: 101, spend time: 0.137s, fps: 7.317
frame index: 102, spend time: 0.111s, fps: 9.048
frame index: 103, spend time: 0.160s, fps: 6.247
frame index: 104, spend time: 0.226s, fps: 4.433
frame index: 105, spend time: 0.193s, fps: 5.180
frame index: 106, spend time: 0.139s, fps: 7.206
frame index: 107, spend time: 0.168s, fps: 5.950
frame index: 108, spend time: 0.147s, fps: 6.808
frame index: 109, spend time: 0.116s, fps: 8.590
frame index: 110, spend time: 0.165s, fps: 6.073
frame index: 111, spend time: 0.139s, fps: 7.197
frame index: 112, spend time: 0.120s, fps: 8.352
frame index: 113, spend time: 0.165s, fps: 6.054
frame index: 114, spend time: 0.173s, fps: 5.770
frame index: 115, spend time: 0.155s, fps: 6.434
frame index: 116, spend time: 0.134s, fps: 7.454
frame index: 117, spend time: 0.179s, fps: 5.580
frame index: 118, spend time: 0.147s, fps: 6.822
frame index: 119, spend time: 0.183s, fps: 5.462
frame index: 120, spend time: 0.201s, fps: 4.974
frame index: 121, spend time: 0.213s, fps: 4.697
frame index: 122, spend time: 0.125s, fps: 7.989
frame index: 123, spend time: 0.157s, fps: 6.386
frame index: 124, spend time: 0.196s, fps: 5.094
frame index: 125, spend time: 0.179s, fps: 5.597
frame index: 126, spend time: 0.155s, fps: 6.448
frame index: 127, spend time: 0.145s, fps: 6.919
frame index: 128, spend time: 0.190s, fps: 5.260
frame index: 129, spend time: 0.188s, fps: 5.317
frame index: 130, spend time: 0.150s, fps: 6.674
frame index: 131, spend time: 0.147s, fps: 6.800
frame index: 132, spend time: 0.151s, fps: 6.638
frame index: 133, spend time: 0.132s, fps: 7.598
frame index: 134, spend time: 0.133s, fps: 7.521
frame index: 135, spend time: 0.192s, fps: 5.202
frame index: 136, spend time: 0.157s, fps: 6.383
frame index: 137, spend time: 0.131s, fps: 7.627
frame index: 138, spend time: 0.198s, fps: 5.062
frame index: 139, spend time: 0.143s, fps: 6.986
frame index: 140, spend time: 0.149s, fps: 6.712
frame index: 141, spend time: 0.150s, fps: 6.673
frame index: 142, spend time: 0.147s, fps: 6.782
frame index: 143, spend time: 0.137s, fps: 7.307
frame index: 144, spend time: 0.151s, fps: 6.605
frame index: 145, spend time: 0.167s, fps: 5.996
frame index: 146, spend time: 0.128s, fps: 7.818
frame index: 147, spend time: 0.142s, fps: 7.019
frame index: 148, spend time: 0.169s, fps: 5.917
frame index: 149, spend time: 0.145s, fps: 6.919
frame index: 150, spend time: 0.174s, fps: 5.745
frame index: 151, spend time: 0.164s, fps: 6.085
frame index: 152, spend time: 0.169s, fps: 5.923
frame index: 153, spend time: 0.217s, fps: 4.614
frame index: 154, spend time: 0.160s, fps: 6.258
frame index: 155, spend time: 0.134s, fps: 7.463
frame index: 156, spend time: 0.192s, fps: 5.204
frame index: 157, spend time: 0.195s, fps: 5.126
frame index: 158, spend time: 0.182s, fps: 5.499
frame index: 159, spend time: 0.202s, fps: 4.957
frame index: 160, spend time: 0.145s, fps: 6.874
frame index: 161, spend time: 0.133s, fps: 7.520
frame index: 162, spend time: 0.176s, fps: 5.675
frame index: 163, spend time: 0.140s, fps: 7.121
frame index: 164, spend time: 0.151s, fps: 6.626
frame index: 165, spend time: 0.161s, fps: 6.209
frame index: 166, spend time: 0.197s, fps: 5.066
frame index: 167, spend time: 0.149s, fps: 6.732
frame index: 168, spend time: 0.115s, fps: 8.699
frame index: 169, spend time: 0.141s, fps: 7.086
frame index: 170, spend time: 0.184s, fps: 5.445
frame index: 171, spend time: 0.183s, fps: 5.457
frame index: 172, spend time: 0.160s, fps: 6.234
frame index: 173, spend time: 0.154s, fps: 6.505
frame index: 174, spend time: 0.168s, fps: 5.968
frame index: 175, spend time: 0.127s, fps: 7.870
frame index: 176, spend time: 0.170s, fps: 5.888
frame index: 177, spend time: 0.144s, fps: 6.943
frame index: 178, spend time: 0.108s, fps: 9.268
frame index: 179, spend time: 0.141s, fps: 7.094
frame index: 180, spend time: 0.166s, fps: 6.023
frame index: 181, spend time: 0.153s, fps: 6.539
frame index: 182, spend time: 0.131s, fps: 7.649
frame index: 183, spend time: 0.229s, fps: 4.360
frame index: 184, spend time: 0.243s, fps: 4.107
frame index: 185, spend time: 0.218s, fps: 4.589
frame index: 186, spend time: 0.176s, fps: 5.679
frame index: 187, spend time: 0.165s, fps: 6.042
frame index: 188, spend time: 0.175s, fps: 5.706
frame index: 189, spend time: 0.133s, fps: 7.517
frame index: 190, spend time: 0.148s, fps: 6.752
frame index: 191, spend time: 0.136s, fps: 7.370
frame index: 192, spend time: 0.117s, fps: 8.544
frame index: 193, spend time: 0.126s, fps: 7.938
frame index: 194, spend time: 0.142s, fps: 7.067
